Rounded Rabbits Average, Rounded Foxes Average, Floor Rabbits Average, Floor Foxes Average, Ceiling Rabbits Average, Ceiling Foxes Average, Raw Rabbits Average, Raw Foxes Average
45001, 914, 51547, 999, 41654, 899, 45196, 910
Day, Round Rabbits, Round Foxes, Day, Floor Rabbits, Floor Foxes, Day, Ceiling Rabbits, Ceiling Foxes, Day, Raw Rabbits, Raw Foxes
0, 10000, 500, 0, 10000, 500, 0, 10000, 500, 0, 10000, 500
20, 11090, 460, 20, 11081, 460, 20, 11082, 479, 20, 11089.509, 461.947
40, 12398, 420, 40, 12377, 420, 40, 12329, 459, 40, 12386.53, 427.808
60, 13962, 392, 60, 13936, 380, 60, 13771, 439, 60, 13924.644, 397.315
80, 15792, 372, 80, 15819, 340, 80, 15441, 419, 80, 15743.81, 370.233
100, 17932, 352, 100, 18098, 304, 100, 17382, 399, 100, 17891.224, 346.366
120, 20442, 332, 120, 20820, 284, 120, 19644, 379, 120, 20422.26, 325.551
140, 23398, 312, 140, 24047, 264, 140, 22282, 359, 140, 23401.433, 307.671
160, 26887, 292, 160, 27887, 244, 160, 25332, 359, 160, 26903.31, 292.658
180, 31019, 272, 180, 32471, 224, 180, 28796, 359, 180, 31013.24, 280.497
200, 35882, 269, 200, 37959, 204, 200, 32732, 359, 200, 35827.702, 271.241
220, 41507, 269, 220, 44556, 184, 220, 37204, 359, 220, 41453.904, 265.033
240, 48015, 269, 240, 52501, 169, 240, 42287, 359, 240, 48008.087, 262.124
260, 55545, 269, 260, 61938, 169, 260, 48063, 359, 260, 55611.658, 262.927
280, 64255, 269, 280, 73076, 169, 280, 54587, 372, 280, 64383.708, 268.064
300, 74296, 280, 300, 86219, 169, 300, 61762, 392, 300, 74427.882, 278.461
320, 85597, 300, 320, 101727, 169, 320, 69601, 412, 320, 85810.185, 295.491
340, 98226, 321, 340, 119962, 180, 340, 78088, 442, 340, 98522.734, 321.161
360, 112040, 361, 360, 140970, 200, 360, 86961, 482, 360, 112426.748, 358.424
380, 126686, 414, 380, 164853, 234, 380, 96011, 534, 380, 127166.343, 411.577
400, 141458, 488, 400, 191125, 288, 400, 104765, 600, 400, 142047.08, 486.782
420, 155193, 594, 420, 218496, 380, 420, 112614, 685, 420, 155886.832, 592.526
440, 166120, 739, 440, 244022, 532, 440, 118781, 792, 440, 166888.054, 739.549
460, 171889, 938, 460, 262126, 784, 460, 122374, 922, 460, 172668.918, 939.135
480, 170012, 1194, 480, 264148, 1188, 480, 122553, 1076, 480, 170704.345, 1198.006
500, 158914, 1502, 500, 241306, 1772, 500, 118764, 1251, 500, 159388.72, 1509.175
520, 139177, 1838, 520, 193363, 2472, 520, 111029, 1431, 520, 139396.707, 1843.33
540, 114121, 2144, 540, 134860, 3099, 540, 100113, 1611, 540, 114146.972, 2151.7
560, 88501, 2378, 560, 84603, 3480, 560, 87202, 1769, 560, 88387.951, 2385.763
580, 66074, 2513, 580, 50430, 3591, 580, 73803, 1892, 580, 65890.752, 2519.597
600, 48459, 2550, 600, 29989, 3509, 600, 61189, 1971, 600, 48267.433, 2555.618
620, 35551, 2511, 620, 18346, 3320, 620, 50156, 2004, 620, 35378.583, 2513.95
640, 26441, 2417, 640, 11723, 3086, 640, 41005, 1996, 640, 26296.715, 2419.117
660, 20112, 2290, 660, 7866, 2842, 660, 33687, 1956, 660, 19993.64, 2292.285
680, 15723, 2150, 680, 5542, 2602, 680, 27970, 1892, 680, 15625.105, 2149.033
700, 12643, 2007, 700, 4097, 2365, 700, 23569, 1812, 700, 12579.127, 1999.835
720, 10467, 1867, 720, 3170, 2145, 720, 20195, 1722, 720, 10437.023, 1851.349
740, 8913, 1727, 740, 2558, 1943, 740, 17649, 1622, 740, 8919.407, 1707.614
760, 7804, 1587, 760, 2146, 1757, 760, 15737, 1522, 760, 7841.303, 1570.944
780, 7026, 1458, 780, 1864, 1586, 780, 14319, 1422, 780, 7080.154, 1442.548
800, 6485, 1338, 800, 1674, 1428, 800, 13285, 1334, 800, 6554.469, 1322.933
820, 6130, 1224, 820, 1547, 1288, 820, 12530, 1254, 820, 6209.966, 1212.17
840, 5917, 1124, 840, 1469, 1160, 840, 12010, 1174, 840, 6010.659, 1110.074
860, 5827, 1024, 860, 1429, 1040, 860, 11700, 1094, 860, 5933.171, 1016.291
880, 5846, 942, 880, 1421, 938, 880, 11577, 1020, 880, 5963.08, 930.384
900, 5959, 862, 900, 1443, 838, 900, 11607, 960, 900, 6092.606, 851.872
920, 6172, 785, 920, 1492, 755, 920, 11777, 900, 920, 6319.129, 780.261
940, 6479, 725, 940, 1567, 675, 940, 12093, 840, 940, 6644.32, 715.062
960, 6885, 665, 960, 1675, 601, 960, 12565, 786, 960, 7073.644, 655.806
980, 7404, 605, 980, 1813, 541, 980, 13175, 746, 980, 7616.164, 602.039
1000, 8050, 559, 1000, 1987, 481, 1000, 13923, 706, 1000, 8284.564, 553.351
1020, 8824, 519, 1020, 2205, 421, 1020, 14831, 666, 1020, 9095.324, 509.352
1040, 9749, 479, 1040, 2474, 380, 1040, 15923, 626, 1040, 10069.069, 469.685
1060, 10859, 439, 1060, 2799, 340, 1060, 17229, 593, 1060, 11231.066, 434.029
1080, 12191, 399, 1080, 3194, 300, 1080, 18731, 573, 1080, 12611.814, 402.1
1100, 13771, 378, 1100, 3675, 260, 1100, 20446, 553, 1100, 14247.774, 373.642
1120, 15618, 358, 1120, 4264, 220, 1120, 22407, 533, 1120, 16182.227, 348.434
1140, 17784, 338, 1140, 4981, 199, 1140, 24653, 513, 1140, 18466.21, 326.299
1160, 20335, 318, 1160, 5843, 179, 1160, 27232, 493, 1160, 21159.538, 307.089
1180, 23340, 298, 1180, 6883, 159, 1180, 30199, 479, 1180, 24331.884, 290.699
1200, 26895, 278, 1200, 8142, 139, 1200, 33517, 479, 1200, 28063.685, 277.089
